author,updated_at,like_count,text,public,language
@garasirider2700,2024-01-24T13:32:37Z,0,Baguss tuh tinggal harganya kendaraannya sama harga hidrogennya berapa tuh😅,True,id
@riyanhadi7394,2024-01-24T09:24:59Z,0,Prodak lokal apa prodak luar hidrogen,True,id
@user-ld2qi9xz7b,2024-01-24T03:10:59Z,0,Miyak dan air eg bersatu menangkan hadiah🎁 dari➡ ordo😣🍕 Diptera Nurhsan bin😂😛 Hasanudin🌞 mau jadi orang🚹👤 e🌕 KTP yang berlaku w ki we love w ew🌕,True,id
@AdeSyaifulRahman,2024-01-23T22:49:52Z,0,"Knp orang Indonesian senang dengan teknologi dari orang asing, sedangkan teknologi hasil keringat anak bangsa sendiri tak di lirik, semoga teknologi BBM dari air bisa menjadi alternatif yg lbh baik",True,id
@brofist6482,2024-01-23T14:47:16Z,0,"Spbu hidrogen???? Pertamina,,, lo tau gak hei Pertamina, di us aja, kendaraan bertenaga hidrogen aja masih sedikit, daripada spbu hidrogen , mending lo Persiba perbanyak stasiun pengisian mobil listrik",True,id
@userhdkh,2024-01-23T14:41:28Z,0,hydrogen lebih cepat dalam pengisiannya,True,id
@yusupadrian6993,2024-01-23T09:07:32Z,0,Sabodo teuing ah urng mah moal meuli,True,id
@muhammadnurgosin8486,2024-01-23T08:39:28Z,0,Alasan di takuti limbah baterai dan mulai banyak yg mendorong hidrogen kerena yang bisa di daur ulang dari baterai ev 90% sisa 10% nya kemana? ini yg di takutkan jadi limbah lingkungan yg 10 persen ini per kendaraan,True,id
@muhammadnurgosin8486,2024-01-23T08:28:24Z,0,3 brand yg mungkin menjual kendaraan hidrogen nantinya di Indonesia dalam waktu 5 tahun ke depan untuk pertama kalinya yg saya dengar nissan Honda dan Toyota kalo roda duanya kemungkinan Yamaha suzuki dan kawasaki,True,id
@anggaaja4350,2024-01-23T06:36:50Z,0,"Hydrogen msh protorype dan blm bisa di terapkan scara massal, jepang sndiri msh menghadapi permasalahan dan belom bisa terpecahkan smp skrg",True,id
@livia_part1728,2024-01-23T05:07:36Z,0,Naah ini niih yg di tunggu tunggu nongol jg stasiun pengisian hidrogen,True,id
@livia_part1728,2024-01-23T05:07:25Z,0,Naah ini niih yg di tunggu tunggu nongol jg stasiun pengisian hidrogen,True,id
@noobscoopsies1100,2024-01-22T23:29:44Z,2,"Semoga ada lebih banyak lagi, soalnya saya pribadi lebih percaya ke mobil hidrogen daripada mobil listrik karena banyak faktor, mobil listrik yang ""Bersih"" itu sebenernya nya gak sebersih yang orang pikirkan, karena proses pembuatannya dan energi yang di pake buat nge-charge kendaraan tersebut masih energi fosil,",True,id
@bu_is,2024-01-22T16:46:50Z,0,fasilitas pertama yg dibangun di negri miskin,True,id
@idharriyanto9803,2024-01-22T16:24:26Z,0,Nanti harga hidrogen dimainin sm mereka..,True,id
@almerferis4513,2024-01-22T13:42:37Z,0,Klo ahok yg bicara itu beres,True,id
@apisaga,2024-01-22T11:35:08Z,0,"Kok gak dijelasin hidrogenya dapat dari mana, kalo dibuat dari plt batu baru ya sama saja 😂",True,id
@bhochahelder2971,2024-01-22T10:27:16Z,0,Study di jepang... mobil hidrogen di jepang aja masih... GATOT,True,id
@yosuayoga6446,2024-01-22T09:18:28Z,0,"siapa yg mau pake hidrogen masalahnya? harganya aja pasti lebih mahal dr pertamax turbo, di us aja yg make cuma seuprit karena mahal + kendaraannya mahal, masih masuk akal EV pak, ngeri emang toyota, maksa pemerintah buat bikin spbu hidrogen wkwkwk",True,id
@MutiaraIslam89,2024-01-22T08:49:02Z,0,Mantap,True,id
@dodywibowo1066,2024-01-22T03:05:41Z,1,Mudah2an busway mulai menggunakan mesin berbahanbakar hydrogen,True,id
@yogiverigud,2024-01-22T01:47:19Z,0,Mobil hidrogen di Indonesia apa sih? SPKLU aja jarang yang pake 😅,True,id
@endang3y,2024-01-21T22:44:55Z,0,Lobi Toyota hebat.....,True,id
@hasanuddin3296,2024-01-21T22:39:37Z,0,Ditunggu kelanjutannya,True,id
@hadirokit6311,2024-01-21T14:28:55Z,0,"BUMN telah dikelola orang yang tepat, semoga tuhan kasih kesehatan, kemudahan. Yakinlah do'a kita Indonesia kedepan lebih baik.",True,id
@aseprahman4568,2024-01-21T14:27:41Z,0,Nikuba dan Hydrogen ini apa sistemnya sama?,True,id
@zeusiqbalulkhaq,2024-01-21T13:41:22Z,0,Alhamdulillah cepat punya SPBU amin,True,id
@Rayzer-Techno,2024-01-21T10:30:59Z,0,Hidrogen oke karena mobil lama bisa modif pake hidrogen cb mbl listrik mn bisa 😂,True,id
@A_dhit_a_m_a,2024-01-21T06:25:51Z,1,"Emang hidrogen bagus ya?
W lihat video video yg bahas tentang hidrogen katanya sih hidrogen sulit jadi pengganti BBM.",True,id
@AhmadNusirwan07,2024-01-21T03:08:28Z,0,Menurut saya kendaraan berbahan hidrogen inilah jawaban atas energi hijau.,True,id
@irfanfadli8298,2024-01-21T03:07:02Z,1,"mantap nih,dan sepertinya kelas kendaraan beberapa tahun lagi akan terdapat 3 kelas hydrogen listrik dan BBM",True,id
@budiyanto8569,2024-01-21T02:53:51Z,0,Emangnya ada mobil pribadi & kendaraan umum yang pakai hidrogen  ???,True,id
@superman6032,2024-01-21T02:20:01Z,0,"Yuk pada tahu gak, alasan kenapa jepang dan otomotif jepang maunya Indonesia ke hidrogen,.
Karena kendaraan hidrogen itu mesinnya sama dengan mobil konvensional alias mobil bensin atau beda sedikit tapi konsepnya hampir sama,
Dengan kompleksitas dan rumitnya mesin mobil hidrogen maka lagi lagi Indonesia tidak akan bisa membuat kendaraan mobil sendiri, tujuannya agar rakyat Indonesia terus membeli mobil mobil buatan otomotif jepang,
Itu tujuan besarnya, walaupun disisi lain hidrogen itu bagus zero emisi,

Berbeda dengan mobil listrik atau baterai, mobil listrik atau baterai itu sistemnya mesinnya baterainya itu sangat sederhana, karena sederhana maka Indonesia atau rakyat Indonesia kedepannya atau dimasa depan pasti akan bisa membuat mobil listrik,
Bayangkan Indonesia bisa membuat mobil listrik motor listrik, MAKA OTOMOTIF JEPANG DIMASA DEPAN AKAN AUTO BANGKRUT DI INDONESIA...
begitulah ceritanya",True,id
@superman6032,2024-01-21T02:19:43Z,0,"Yuk pada tahu gak, alasan kenapa jepang dan otomotif jepang maunya Indonesia ke hidrogen,.
Karena kendaraan hidrogen itu mesinnya sama dengan mobil konvensional alias mobil bensin atau beda sedikit tapi konsepnya hampir sama,
Dengan kompleksitas dan rumitnya mesin mobil hidrogen maka lagi lagi Indonesia tidak akan bisa membuat kendaraan mobil sendiri, tujuannya agar rakyat Indonesia terus membeli mobil mobil buatan otomotif jepang,
Itu tujuan besarnya, walaupun disisi lain hidrogen itu bagus zero emisi,

Berbeda dengan mobil listrik atau baterai, mobil listrik atau baterai itu sistemnya mesinnya baterainya itu sangat sederhana, karena sederhana maka Indonesia atau rakyat Indonesia kedepannya atau dimasa depan pasti akan bisa membuat mobil listrik,
Bayangkan Indonesia bisa membuat mobil listrik motor listrik, MAKA OTOMOTIF JEPANG DIMASA DEPAN AKAN AUTO BANGKRUT DI INDONESIA...
begitulah ceritanya",True,id
@alexiszurex,2024-01-21T00:35:37Z,0,"asal Hyundai NEXO dapet subsidi, langsung gua ambil dah.....",True,id
@cisco639,2024-01-20T19:10:57Z,0,Ya atur2 aja dah,True,id
@izoes3259,2024-01-20T16:36:27Z,1,Jjadi kita dibarahkan kemana nih.. listrik atau hidrogen..,True,id
